TRKJ2-1-5-001,正しい、ふさわしい,right,,ráit,the right thing,正しいこと
TRKJ2-1-5-002,賛成する,agree,,əgríː,agree with Kanta,幹太に賛成する
TRKJ2-1-5-003,重要な,important,,［US］ impɔ́rtənt ｜ ［UK］ impɔ́ːtənt,,
TRKJ2-1-5-004,風呂,bath,,［US］ bæθ ｜ bɑθ ｜ ［UK］ bɑːθ,take a bath,お風呂に入る
TRKJ2-1-5-005,大変な,tough,,n,a tough game,大変な試合
TRKJ2-1-5-006,盗む,steal,,stíːl,,
TRKJ2-1-5-007,ほとんど,almost,,［US］ ɔ́lmòust ｜ ɔlmóust ｜ ［UK］ ɔ́ːlməust,almost every day,ほとんど毎日
TRKJ2-1-5-008,掃除機をかける,vacuum,,vǽkjuəm,vacuum a floor,床に掃除機をかける
TRKJ2-1-5-009,招待する,invite,,n,invite Kanta to Minecraft,幹太をマイクラに招待する
TRKJ2-1-5-010,大嫌いだ,hate,,héit,,
TRKJ2-1-5-011,答える,answer,,ǽnsər,,
TRKJ2-1-5-012,押し入る,break into,n,n,break into a house,家に押し入る
TRKJ2-1-5-013,疲れている,tired,,táiərd,,
TRKJ2-1-5-014,働く,work,,［US］ wərk ｜ ［UK］ wəːk,work for a company,会社で働く
TRKJ2-1-5-015,アルバイトで,part-time,,n,work part-time,アルバイトをする
TRKJ2-1-5-016,配達,delivery,,dilívəri,order a pizza delivery,ピザの宅配を頼む
TRKJ2-1-5-017,支払う,pay,,péi,pay for a ticket,チケット代を払う
TRKJ2-1-5-018,…を気にする,care about…,n,n,I don't care about it at all,私はそんことを全くきにしていません
TRKJ2-1-5-019,…の調子が悪い,There is something wrong with…,n,n,,
TRKJ2-1-5-020,突然,suddenly,,sʌ́dnli,,
TRKJ2-1-5-021,起こる,break out,n,n,A fire broke out yesterday,昨日火事が起こった
TRKJ2-1-5-022,準備する,prepare,,pripέər,,
TRKJ2-1-5-023,最近,recently,,ríːsntli,A famous writer died recently,有名な作家が昨日死んだ
TRKJ2-1-5-024,離婚する,get divorced,n,n,I got divorced from my wife recently,私は最近妻と離婚した
TRKJ2-1-5-025,汚い,dirty,,［US］ də́rti ｜ ［UK］ də́ːti,,
TRKJ2-1-5-026,修理する,repair,,［US］ ripε'r ｜ ［UK］ ripε'ə,,
TRKJ2-1-5-027,入る,enter,,éntər,,
TRKJ2-1-5-028,入院している,be in the hospital,n,n,He is in the hospital now,彼は今入院している
TRKJ2-1-5-029,退院する,leave a hospital,n,n,He left the hospital recently,彼は最近退院した
TRKJ2-1-5-030,…に乗る,get on,n,n,get on a bus,バスにのる
TRKJ2-1-5-031,許す,forgive,,fərgív,I'll forgive you,君を許そう
TRKJ2-1-5-032,レストラン,restaurant,,［US］ réstərɑːnt ｜ ［UK］ rε'stərɔ̀ŋ,,
TRKJ2-1-5-033,発明する,invest,,invést,,
TRKJ2-1-5-034,（飲食物）を出す、提供する,serve,,［US］ sə́rv ｜ ［UK］ sə́ːv,"Serve the cake to Kanta, Serve Kanta with the cake",そのケーキを幹太に出す
TRKJ2-1-5-035,有名な,famous,,féiməs,,
TRKJ2-1-5-036,映画化される,be made into a movie,n,n,Doraemon was made into a movie,
TRKJ2-1-5-037,元々の,original,,ərídʒənəl,a original plan,元々の計画
TRKJ2-1-5-038,不可能な,impossible,,［US］ impɑ́səbəl ｜ ［UK］ impɔ́sibəl,,
TRKJ2-1-5-039,薬,potion,,póuʃən,a magic potion,魔法の薬
TRKJ2-1-5-040,縮む,shrink,,ʃriŋk,,
