TRKJ2-1-7-001,出席する,attend,A,əténd,,
TRKJ2-1-7-002,本当に,really,A,ríːəli,That really happened ,それは本当に起こった
TRKJ2-1-7-003,ダイエットする,go on a diet,A,n,,
TRKJ2-1-7-004,望む,hope,A,hóup,,
TRKJ2-1-7-005,うまくいく,go well,A,n,I hope everything go well,すべてうまくいくといいな
TRKJ2-1-7-006,すみませんが,I'm afraid ,n,n,I'm afraid I can't,すみませんが、私はできません
TRKJ2-1-7-007,のどが渇いた,thirsty,A,［US］ θə́rsti ｜ ［UK］ θə́ːsti,I'm really thirsty,とてものどが渇いています
TRKJ2-1-7-008,飛行,flight,A,fláit,take a flight,飛行機に乗る
TRKJ2-1-7-009,…に遅れる,be late for,A,n,I was late for school yesterday,私は昨日学校に遅刻した
TRKJ2-1-7-010,乗る、間に合う,catch,A,kætʃ,I catch a bus,バスに乗る
TRKJ2-1-7-011,急ぐ,hurry up,A,n,,
TRKJ2-1-7-012,合格する,pass,A,pǽs,I pass an entrance examination,入学試験に合格する
TRKJ2-1-7-013,駐車する,park,A,［US］ pɑ́rk ｜ ［UK］ pɑ́ːk,,
TRKJ2-1-7-014,約束する,promise,A,［US］ prɑ́mis ｜ ［UK］ prɔ́mis,I can't promise anything,何も約束できない
TRKJ2-1-7-015,喧嘩する,quarrel,A,［US］ kwɔ́rəl ｜ kwɑ́rəl ｜ ［UK］ kwɔ́rəl,I quarrel with Kanta,幹太と喧嘩する
TRKJ2-1-7-016,（予想に反して）結局,after all,A,n,He didn't come after all,結局彼は来なかった
TRKJ2-1-7-017,できるだけ早く,as soon as possible,A,n,,
TRKJ2-1-7-018,折り返し電話する,call back,A,n,I'll call you back,折り返し電話します。
TRKJ2-1-7-019,許す,forgive,A,fərgív,I'll never forgive her,私は彼女を決して許さないだろう
TRKJ2-1-7-020,やせる,lose weight,n,n,You should lose weight,あなたはやせるべきだ
TRKJ2-1-7-021,景色,view,A,［US］ vju ｜ ［UK］ vjuː,,
TRKJ2-1-7-022,ささやく,whisper,A,hwíspər,I whispered in his ear,私は彼にささやいた
TRKJ2-1-7-023,噛みつく,worry about,A,n,,
TRKJ2-1-7-024,カーテン,bite,A,báit,,
TRKJ2-1-7-025,活動的な,active,A,ǽktiv,,
TRKJ2-1-7-026,最初のうちは,at first,A,n,At first I thought she was my teacher,最初は、彼女が私の先生だと考えていた
TRKJ2-1-7-027,芸をする,do a trick,n,n,,
TRKJ2-1-7-028,飛行機を操縦する,fly a plane,n,n,,
TRKJ2-1-7-029,並んで,in line,A,n,I had to wait in line for the ticket,私はそのチケットを取るために並ばなければならなかった
TRKJ2-1-7-030,大好きな。お気に入りの,favorite,A,féivərət,,
TRKJ2-1-7-031,…がない,clear of,n,n,I'm clear of debt,私は借金がない
TRKJ2-1-7-032,怖くて…することができない,be afraid to ,n,n,I was afraid to jump from there,私は怖くてそこからおりることができなかった
TRKJ2-1-7-033,くじ,lottery,A,［US］ lɑ́təri ｜ ［UK］ lɔ́təri,I won the lottery,くじが当たる
TRKJ2-1-7-034,おしゃべりをする,chat,A,tʃǽt,,
TRKJ2-1-7-035,教授,professor,A,［US］ prəfésər ｜ ［UK］ prəfésə,,
TRKJ2-1-7-036,殺人者,murderer,A,mə́rdərər,,
TRKJ2-1-7-037,逮捕する,arrest,A,ərést,He arrested the murderer.,彼は殺人者を逮捕した
TRKJ2-1-7-038,逃げる,run away,A,n,,
TRKJ2-1-7-039,予期する,expect,A,ikspékt ｜ ekspékt,I expect much help from Kanta,幹太が助けてくれると思う
TRKJ2-1-7-040,盲導犬,guide dog,A,n,,
TRKJ2-1-7-041,絆,bond,A,［US］ bɑnd ｜ ［UK］ bɔnd,the family bond,家族の絆
TRKJ2-1-7-042,アイスホッケー,ice hockey,A,n,,
